City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,ZA,2022-07-09 21:02:30,-33.9258,18.4232,59.38,85,6,5.99
1,Airai,TL,2022-07-09 21:01:52,-8.9266,125.4092,56.05,94,76,3.91
2,Torbay,CA,2022-07-09 21:04:01,47.6666,-52.7314,66.27,83,94,4.0
3,Christchurch,NZ,2022-07-09 20:59:26,-43.5333,172.6333,39.42,81,100,3.44
4,Mbanza-Ngungu,CD,2022-07-09 21:04:02,-5.25,14.8667,69.57,61,54,4.41
5,Nikolskoye,RU,2022-07-09 21:04:02,59.7035,30.7861,60.8,97,82,4.18
6,Butaritari,KI,2022-07-09 21:04:02,3.0707,172.7902,81.52,79,44,12.55
7,Soyo,AO,2022-07-09 21:04:03,-6.1349,12.3689,70.16,89,94,8.5
8,Puerto Ayora,EC,2022-07-09 21:04:03,-0.7393,-90.3518,72.55,89,83,7.0
9,Thompson,CA,2022-07-09 21:00:16,55.7435,-97.8558,82.72,47,100,9.86
10,Port Lincoln,AU,2022-07-09 21:01:53,-34.7333,135.8667,48.54,80,33,13.76
11,Hilo,US,2022-07-09 21:04:04,19.7297,-155.09,80.62,81,81,1.01
12,Akyab,MM,2022-07-09 21:04:04,20.15,92.9,80.24,86,91,10.31
13,Zambezi,ZM,2022-07-09 21:04:04,-13.5432,23.1047,56.59,47,1,4.36
14,Burnie,AU,2022-07-09 21:04:05,-41.0667,145.9167,40.95,76,5,7.94
15,Avarua,CK,2022-07-09 21:04:05,-21.2078,-159.775,75.25,60,79,14.97
16,Yellowknife,CA,2022-07-09 21:04:05,62.456,-114.3525,69.57,68,81,8.01
17,Hobart,AU,2022-07-09 21:00:42,-42.8794,147.3294,44.46,90,75,5.75
18,Makushino,RU,2022-07-09 21:04:06,55.2103,67.2442,64.71,74,96,4.68
19,Busselton,AU,2022-07-09 21:04:06,-33.65,115.3333,56.73,56,95,19.01
20,Ushuaia,AR,2022-07-09 21:04:06,-54.8,-68.3,29.86,86,75,9.22
21,Okhotsk,RU,2022-07-09 21:04:07,59.3833,143.3,62.91,69,80,3.29
22,Bethel,US,2022-07-09 21:04:07,41.3712,-73.414,86.02,37,0,10.36
23,Mataura,NZ,2022-07-09 21:04:07,-46.1927,168.8643,35.47,90,49,1.95
24,Dikson,RU,2022-07-09 21:04:08,73.5069,80.5464,32.05,94,91,6.49
25,New Norfolk,AU,2022-07-09 21:04:08,-42.7826,147.0587,44.1,87,13,2.51
26,Darnah,LY,2022-07-09 21:04:08,32.767,22.6367,77.99,75,2,19.95
27,Huarmey,PE,2022-07-09 21:04:09,-10.0681,-78.1522,67.05,74,8,10.09
28,Clyde River,CA,2022-07-09 21:04:09,70.4692,-68.5914,47.12,65,36,2.93
29,Bambous Virieux,MU,2022-07-09 21:04:09,-20.3428,57.7575,66.22,68,40,20.54
30,Knysna,ZA,2022-07-09 21:04:10,-34.0363,23.0471,60.22,78,41,1.16
31,Istok,XK,2022-07-09 21:04:10,42.7808,20.4875,56.73,82,45,6.08
32,Port Alfred,ZA,2022-07-09 21:02:08,-33.5906,26.891,68.81,35,0,12.62
33,Hambantota,LK,2022-07-09 21:04:10,6.1241,81.1185,80.53,76,100,20.96
34,Freeport,US,2022-07-09 21:04:11,40.6576,-73.5832,86.18,51,0,11.5
35,Barrow,US,2022-07-09 21:01:02,71.2906,-156.7887,57.22,72,75,13.8
36,Bluff,NZ,2022-07-09 21:00:46,-46.6,168.3333,35.8,74,49,3.98
37,Rikitea,PF,2022-07-09 21:04:11,-23.1203,-134.9692,74.71,78,59,13.94
38,Waipawa,NZ,2022-07-09 21:04:12,-41.4122,175.5153,43.84,67,100,9.66
39,Vestmannaeyjar,IS,2022-07-09 21:04:12,63.4427,-20.2734,52.2,97,100,17.56
40,Kapaa,US,2022-07-09 21:04:12,22.0752,-159.319,80.92,83,75,13.8
41,Atuona,PF,2022-07-09 21:04:13,-9.8,-139.0333,77.95,77,31,19.3
42,Shenjiamen,CN,2022-07-09 21:04:13,29.9576,122.298,77.0,94,96,7.09
43,Arman,RU,2022-07-09 21:04:14,59.7,150.1667,61.7,85,48,2.26
44,Havelock,US,2022-07-09 21:04:14,34.8791,-76.9013,88.05,86,99,7.0
45,Victoria,HK,2022-07-09 21:04:14,22.2855,114.1577,85.32,85,12,8.99
46,Berlevag,NO,2022-07-09 21:04:16,70.8578,29.0864,55.35,76,100,9.22
47,Qaanaaq,GL,2022-07-09 21:04:16,77.484,-69.3632,44.46,73,53,2.3
48,Yellandu,IN,2022-07-09 21:04:16,17.6,80.3333,73.2,92,100,14.38
49,Sabaudia,IT,2022-07-09 21:04:17,41.3003,13.0282,75.78,74,0,4.52
50,Sivas,TR,2022-07-09 21:00:47,39.7916,37.0019,64.87,63,0,5.1
51,Nerchinskiy Zavod,RU,2022-07-09 21:04:17,51.3088,119.61,51.75,94,99,4.74
52,Touho,NC,2022-07-09 21:04:18,-20.7833,165.2333,76.55,80,80,11.86
53,Saint-Joseph,RE,2022-07-09 21:04:18,-21.3667,55.6167,68.38,67,37,14.99
54,Beyneu,KZ,2022-07-09 21:04:18,45.3167,55.2,82.76,20,26,6.4
55,Kaitangata,NZ,2022-07-09 21:04:19,-46.2817,169.8464,35.47,83,57,4.52
56,Tuatapere,NZ,2022-07-09 21:04:19,-46.1333,167.6833,34.45,84,26,3.51
57,Georgetown,MY,2022-07-09 21:04:19,5.4112,100.3354,84.13,78,20,0.0
58,Codrington,AU,2022-07-09 21:00:20,-38.2667,141.9667,41.77,96,4,9.46
59,Hermanus,ZA,2022-07-09 21:04:20,-34.4187,19.2345,55.8,80,1,8.63
60,Puri,IN,2022-07-09 21:04:20,19.8,85.85,79.32,83,100,12.88
61,Monywa,MM,2022-07-09 21:04:21,22.1167,95.1333,84.34,69,72,10.36
62,Chokurdakh,RU,2022-07-09 21:04:21,70.6333,147.9167,52.88,45,34,6.33
63,Narsaq,GL,2022-07-09 21:03:12,60.9167,-46.05,53.82,85,25,5.14
64,Erzin,TR,2022-07-09 21:04:21,36.9559,36.2,72.64,90,1,2.42
65,Rocha,UY,2022-07-09 21:04:22,-34.4833,-54.3333,62.47,94,50,12.17
66,Tuktoyaktuk,CA,2022-07-09 21:04:22,69.4541,-133.0374,42.49,84,59,8.57
67,Punta Arenas,CL,2022-07-09 21:04:15,-53.15,-70.9167,32.11,69,10,13.76
68,Bredasdorp,ZA,2022-07-09 21:04:22,-34.5322,20.0403,52.27,75,0,6.73
69,Byron Bay,AU,2022-07-09 21:04:23,-28.65,153.6167,45.95,86,91,9.31
70,Ostersund,SE,2022-07-09 21:04:23,63.1792,14.6357,49.6,100,100,10.36
71,Hithadhoo,MV,2022-07-09 21:04:23,-0.6,73.0833,82.24,76,36,6.22
72,Dingle,PH,2022-07-09 21:04:24,10.9995,122.6711,76.32,91,89,9.84
73,Beatrice,US,2022-07-09 21:04:24,40.2681,-96.747,87.46,58,0,9.22
74,Vuktyl,RU,2022-07-09 21:04:24,63.8567,57.3094,63.36,56,63,3.44
75,Jamestown,US,2022-07-09 21:02:10,42.097,-79.2353,81.52,50,0,13.8
76,Moindou,NC,2022-07-09 21:04:25,-21.6924,165.677,76.03,79,13,7.94
77,Champerico,GT,2022-07-09 21:00:36,14.3,-91.9167,85.33,68,9,6.08
78,Boguchany,RU,2022-07-09 21:04:25,58.3814,97.4531,55.27,82,53,0.89
79,Vao,NC,2022-07-09 21:04:26,-22.6667,167.4833,76.3,77,31,13.58
80,San Mateo Del Mar,MX,2022-07-09 21:04:26,16.2,-95.0,89.28,59,0,23.17
81,Ancud,CL,2022-07-09 21:04:26,-41.8697,-73.8203,46.22,85,100,14.29
82,Ostrovnoy,RU,2022-07-09 21:04:27,68.0531,39.5131,45.21,94,92,1.66
