City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
410,Mitsamiouli,KM,77.92,broken clouds,-11.3847,43.2844,Foyer ADM
411,Pimenta Bueno,BR,78.13,scattered clouds,-11.6725,-61.1936,Cristalina Palace Hotel
412,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
415,Manzil Salim,TN,77.07,clear sky,35.8567,8.4765,mohamed ben khlil omri
416,Sao Filipe,CV,75.22,scattered clouds,14.8961,-24.4956,Hotel Xaguate
420,Griffith,US,80.31,clear sky,41.5284,-87.4237,Apartment above Depot Bar
422,Tabas,IR,79.83,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
444,Turayf,SA,77.25,clear sky,31.6725,38.6637,Turaif
445,Kimbe,PG,84.78,scattered clouds,-5.5502,150.1429,Kimbe Bay Hotel
451,Halifax,CA,78.69,few clouds,44.6453,-63.5724,Hotel Halifax
452,Nara,JP,77.5,light rain,34.6851,135.8049,Guesthouse Nara Komachi
455,Oussouye,SN,80.69,overcast clouds,12.485,-16.5469,Auberge du Routard
457,Katsuura,JP,75.51,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
464,Virginia Beach,US,77.07,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
476,Benemerito De Las Americas,MX,82.85,overcast clouds,16.5167,-90.6439,Residencia Univeresitaria
479,Tual,ID,79.38,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
482,Ajdabiya,LY,76.35,clear sky,30.7554,20.2263,Almadina Hotel
483,Matara,LK,78.49,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
487,Patos,BR,75.36,overcast clouds,-7.0244,-37.28,Hotel JK
492,Sola,VU,83.07,scattered clouds,-13.8833,167.55,Leumerus Bungalows
495,Eyl,SO,79.41,broken clouds,7.9803,49.8164,Amiin Hotel
500,Tateyama,JP,78.1,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
504,Gizo,SB,83.7,few clouds,-8.103,156.8419,Imagination Island
505,Samarai,PG,77.76,overcast clouds,-10.6167,150.6667,Nuli Sapi
506,Cayenne,GF,78.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
511,Honiara,SB,84.47,scattered clouds,-9.4333,159.95,Heritage Park Hotel
518,Mangrol,IN,80.69,light rain,21.1167,70.1167,Hotel The Royal Honours
519,Verneuil-Sur-Seine,FR,80.91,scattered clouds,48.9739,1.9648,Hotel Restaurant La Chaumière Les Mureaux-Flins
520,Buala,SB,83.48,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
528,Wahiawa,US,84.52,few clouds,21.5028,-158.0236,The Inn At Schofield
531,Manado,ID,77.77,few clouds,1.487,124.8455,Aryaduta Hotel
538,Lubao,PH,80.31,overcast clouds,14.9167,120.55,Hacienda Gracia
542,Batticaloa,LK,79.99,few clouds,7.7102,81.6924,Grand Star Guest House
546,Palauig,PH,82.15,overcast clouds,15.435,119.9045,Villa Raphael Resort
552,Eureka,US,80.67,scattered clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
554,Banjarmasin,ID,75.34,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
557,Santo Tomas,PH,81.48,overcast clouds,14.1079,121.1414,Microtel by Wyndham Batangas
