City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
94,Leningradskiy,69.3833,178.4167,41.18,73,90,9.42,RU,2022-07-13 22:39:11,overcast clouds
95,Teguldet,57.3064,88.1667,51.13,75,100,3.29,RU,2022-07-13 22:39:12,overcast clouds
96,Mahebourg,-20.4081,57.7,66.49,94,75,14.97,MU,2022-07-13 22:39:12,broken clouds
97,Klaksvik,62.2266,-6.589,47.32,74,84,5.01,FO,2022-07-13 22:39:13,broken clouds
98,Horodnytsya,50.807,27.3168,56.68,96,12,10.76,UA,2022-07-13 22:39:13,few clouds
99,Meulaboh,4.1363,96.1285,76.21,90,81,6.73,ID,2022-07-13 22:39:13,broken clouds
100,Geraldton,-28.7667,114.6,59.41,88,75,10.36,AU,2022-07-13 22:39:14,broken clouds
101,Luderitz,-26.6481,15.1594,55.81,61,0,16.71,NA,2022-07-13 22:35:27,clear sky
102,Yambio,4.5721,28.3955,68.11,99,100,3.2,SS,2022-07-13 22:39:14,light rain
103,Marawi,7.9986,124.2928,71.37,89,21,1.48,PH,2022-07-13 22:39:15,few clouds
104,Bacalar,18.6667,-88.3833,86.11,70,100,20.71,MX,2022-07-13 22:39:15,overcast clouds
105,Krini,39.387,22.3509,65.32,45,0,4.18,GR,2022-07-13 22:39:16,clear sky
106,Thio,-21.6167,166.2167,69.76,79,93,7.47,NC,2022-07-13 22:39:16,overcast clouds
107,Kapaa,22.0752,-159.319,84.52,71,40,14.97,US,2022-07-13 22:39:16,scattered clouds
108,Muri,23.3667,85.8667,79.21,86,41,12.93,IN,2022-07-13 22:39:17,scattered clouds
109,Namibe,-15.1961,12.1522,62.74,90,10,2.82,AO,2022-07-13 22:39:17,clear sky
110,Huangchuan,32.1272,115.0394,84.85,81,70,7.61,CN,2022-07-13 22:39:18,broken clouds
111,Ponta Do Sol,32.6667,-17.1,71.01,77,12,3.87,PT,2022-07-13 22:39:18,few clouds
112,Xuddur,4.1213,43.8894,72.68,77,35,21.72,SO,2022-07-13 22:39:18,scattered clouds
113,Puerto Ayora,-0.7393,-90.3518,76.96,88,44,5.01,EC,2022-07-13 22:37:15,scattered clouds
114,Pimentel,-6.8367,-79.9342,66.49,72,0,21.85,PE,2022-07-13 22:39:19,clear sky
115,Ilulissat,69.2167,-51.1,48.22,71,75,4.61,GL,2022-07-13 22:39:19,broken clouds
116,Barrow,71.2906,-156.7887,42.82,61,100,13.8,US,2022-07-13 22:39:20,overcast clouds
117,Longyearbyen,78.2186,15.6401,51.64,82,75,19.57,SJ,2022-07-13 22:39:20,broken clouds
118,Iqaluit,63.7506,-68.5145,42.53,81,75,9.22,CA,2022-07-13 22:39:21,broken clouds
119,Nurota,40.5614,65.6886,75.74,31,0,7.36,UZ,2022-07-13 22:39:21,clear sky
120,Dingle,10.9995,122.6711,78.55,87,28,1.95,PH,2022-07-13 22:39:22,scattered clouds
121,Dali,25.7,100.1833,63.64,88,10,2.62,CN,2022-07-13 22:39:22,clear sky
122,Makakilo City,21.3469,-158.0858,86.32,61,75,23.02,US,2022-07-13 22:39:22,broken clouds
123,Lavrentiya,65.5833,-171.0,52.93,70,77,7.27,RU,2022-07-13 22:35:14,broken clouds
124,Srednekolymsk,67.45,153.6833,63.37,48,100,13.47,RU,2022-07-13 22:39:23,overcast clouds
125,Tazovskiy,67.4667,78.7,47.79,71,15,5.68,RU,2022-07-13 22:39:23,few clouds
126,Port Alfred,-33.5906,26.891,56.41,80,0,11.77,ZA,2022-07-13 22:39:24,clear sky
127,Porto Novo,6.4965,2.6036,76.82,88,100,6.87,BJ,2022-07-13 22:39:24,overcast clouds
128,Sur,22.5667,59.5289,90.43,62,98,3.83,OM,2022-07-13 22:39:25,overcast clouds
129,Carman,49.4992,-98.0016,81.52,63,8,6.58,CA,2022-07-13 22:39:25,clear sky
130,Ise,34.4833,136.7,79.92,77,99,1.03,JP,2022-07-13 22:39:25,overcast clouds
131,Sibolga,1.7427,98.7792,76.91,91,98,3.36,ID,2022-07-13 22:39:26,overcast clouds
132,Derzhavinsk,51.1,66.3167,68.32,70,0,8.75,KZ,2022-07-13 22:39:26,clear sky
133,Hobyo,5.3505,48.5268,78.19,79,59,26.93,SO,2022-07-13 22:39:27,broken clouds
134,Nishihara,26.1842,127.7558,83.48,84,75,6.91,JP,2022-07-13 22:39:28,broken clouds
135,Hervey Bay,-25.2986,152.8535,53.67,65,0,19.33,AU,2022-07-13 22:35:48,clear sky
136,Castro,-24.7911,-50.0119,53.17,96,98,9.24,BR,2022-07-13 22:39:28,overcast clouds
137,Thompson,55.7435,-97.8558,80.76,36,0,6.91,CA,2022-07-13 22:35:11,clear sky
138,Preobrazheniye,42.9019,133.9064,65.12,98,100,14.79,RU,2022-07-13 22:39:29,moderate rain
139,Lebu,-37.6167,-73.65,44.28,77,91,1.48,CL,2022-07-13 22:39:29,overcast clouds
140,Hengyang,26.8881,112.615,81.95,80,98,2.71,CN,2022-07-13 22:36:51,overcast clouds
141,Muros,42.7762,-9.0603,73.83,72,98,8.52,ES,2022-07-13 22:39:30,overcast clouds
142,East London,-33.0153,27.9116,58.71,75,0,7.38,ZA,2022-07-13 22:39:30,clear sky
143,Hobart,-42.8794,147.3294,41.05,88,75,8.05,AU,2022-07-13 22:39:31,broken clouds
144,Kavaratti,10.5669,72.642,81.36,80,100,22.26,IN,2022-07-13 22:39:31,overcast clouds
145,Geisenheim,49.9833,7.9667,79.02,66,85,4.38,DE,2022-07-13 22:39:31,overcast clouds
146,Kabwe,-14.4469,28.4464,58.95,65,79,5.99,ZM,2022-07-13 22:39:32,broken clouds
147,Bredasdorp,-34.5322,20.0403,59.31,73,100,18.57,ZA,2022-07-13 22:39:32,overcast clouds
148,Ketchikan,55.3422,-131.6461,55.87,94,100,12.66,US,2022-07-13 22:39:33,light rain
149,Khatanga,71.9667,102.5,43.74,83,100,8.88,RU,2022-07-13 22:39:33,overcast clouds
150,Preeceville,51.95,-102.6677,76.82,71,35,14.58,CA,2022-07-13 22:39:34,scattered clouds
151,Contamana,-7.3333,-75.0167,82.8,64,91,1.59,PE,2022-07-13 22:39:34,overcast clouds
152,Abu Samrah,35.3029,37.1841,73.78,64,0,8.9,SY,2022-07-13 22:39:34,clear sky
153,Wilmington Island,32.0036,-80.9737,85.98,67,100,8.21,US,2022-07-13 22:39:35,overcast clouds
154,Moche,-8.1711,-79.0092,62.78,82,69,11.5,PE,2022-07-13 22:39:35,mist
155,Torbay,47.6666,-52.7314,70.57,64,75,16.11,CA,2022-07-13 22:39:36,broken clouds
156,Olafsvik,64.8945,-23.7142,49.01,78,100,10.27,IS,2022-07-13 22:39:36,overcast clouds
157,Sept-Iles,50.2001,-66.3821,70.32,53,20,12.66,CA,2022-07-13 22:39:36,few clouds
158,Lerwick,60.1545,-1.1494,51.8,92,100,13.89,GB,2022-07-13 22:39:37,light rain
159,Ballina,-28.8667,153.5667,54.01,68,78,18.99,AU,2022-07-13 22:39:37,broken clouds
160,Manjeshwar,12.7194,74.8861,74.35,82,100,18.3,IN,2022-07-13 22:39:38,light rain
161,Bairiki,1.3292,172.9752,84.2,79,40,13.8,KI,2022-07-13 22:39:38,scattered clouds
162,Hay River,60.8156,-115.7999,62.58,72,75,11.5,CA,2022-07-13 22:39:39,heavy intensity rain
163,Tecolutla,20.4833,-97.0167,93.06,77,89,16.26,MX,2022-07-13 22:39:39,overcast clouds
164,Karratha,-20.7377,116.8463,62.55,51,32,11.45,AU,2022-07-13 22:39:40,scattered clouds
165,Baghmara,23.795,86.2085,80.08,81,35,13.49,IN,2022-07-13 22:39:40,scattered clouds
166,Severo-Kurilsk,50.6789,156.125,54.72,94,100,1.23,RU,2022-07-13 22:36:38,overcast clouds
167,Sunrise Manor,36.2111,-115.0731,112.73,13,0,11.5,US,2022-07-13 22:35:28,clear sky
168,Bengkulu,-3.8004,102.2655,75.79,90,97,3.04,ID,2022-07-13 22:39:41,overcast clouds
169,Broome,42.2506,-75.833,75.65,82,75,6.91,US,2022-07-13 22:39:41,light rain
170,Kiruna,67.8557,20.2251,56.32,82,100,3.44,SE,2022-07-13 22:39:41,overcast clouds
171,Chuy,-33.6971,-53.4616,45.14,86,3,8.68,UY,2022-07-13 22:39:42,clear sky
172,Ribeira Brava,32.65,-17.0667,71.01,80,10,3.94,PT,2022-07-13 22:39:42,clear sky
173,Arona,28.0996,-16.681,68.7,70,20,1.99,ES,2022-07-13 22:39:43,few clouds
174,Husavik,66.0449,-17.3389,48.56,69,54,5.35,IS,2022-07-13 22:39:08,broken clouds
175,Bonfim,3.0833,-59.95,78.39,84,100,5.59,BR,2022-07-13 22:39:43,overcast clouds
176,Carnarvon,-24.8667,113.6333,66.0,83,25,9.53,AU,2022-07-13 22:39:43,scattered clouds
177,Kamaishi,39.2667,141.8833,68.86,89,100,4.05,JP,2022-07-13 22:39:44,overcast clouds
178,Sabang,5.8933,95.3214,82.09,79,100,16.06,ID,2022-07-13 22:39:44,overcast clouds
179,Ozernovskiy,51.5,156.5167,52.77,98,100,4.27,RU,2022-07-13 22:39:45,overcast clouds
180,Abu Zabad,12.35,29.25,77.99,71,100,7.96,SD,2022-07-13 22:39:45,overcast clouds
181,Petropavlovsk-Kamchatskiy,53.0452,158.6483,63.19,77,75,2.24,RU,2022-07-13 22:39:47,volcanic ash
182,Lichtenburg,-26.152,26.1597,51.71,42,0,5.37,ZA,2022-07-13 22:39:47,clear sky
183,Were Ilu,10.6,39.4333,54.93,83,100,1.54,ET,2022-07-13 22:39:47,overcast clouds
184,Mwingi,-0.9344,38.0601,65.3,66,85,6.29,KE,2022-07-13 22:39:48,overcast clouds
185,Bairnsdale,-37.8333,147.6167,43.05,89,21,5.91,AU,2022-07-13 22:39:48,few clouds
186,Rundu,-17.9333,19.7667,53.56,45,0,5.46,NA,2022-07-13 22:39:49,clear sky
187,Ganzhou,28.8184,115.4327,83.39,77,100,3.36,CN,2022-07-13 22:39:49,overcast clouds
188,Riachao,-7.3619,-46.6172,79.74,39,50,3.33,BR,2022-07-13 22:39:50,scattered clouds
189,Fare,-16.7,-151.0167,77.72,72,28,18.21,PF,2022-07-13 22:38:59,light rain
190,Zhezkazgan,47.8043,67.7144,72.3,44,1,8.37,KZ,2022-07-13 22:39:50,clear sky
191,Oistins,13.0667,-59.5333,82.49,69,40,19.57,BB,2022-07-13 22:39:50,scattered clouds
192,Ulladulla,-35.35,150.4667,52.7,65,72,17.94,AU,2022-07-13 22:39:51,broken clouds
193,Hasaki,35.7333,140.8333,73.8,87,96,13.44,JP,2022-07-13 22:36:35,overcast clouds
194,Gunnedah,-30.9833,150.25,46.98,64,6,7.02,AU,2022-07-13 22:39:51,clear sky
195,Kununurra,-15.7667,128.7333,55.38,30,5,9.22,AU,2022-07-13 22:39:52,clear sky
196,Shimoda,34.6667,138.95,73.11,90,100,11.23,JP,2022-07-13 22:39:52,overcast clouds
197,Luanda,-8.8368,13.2343,67.41,94,16,6.8,AO,2022-07-13 22:39:53,few clouds
